original_filename	corpus_filename	corpus_ref	corpus_language	author	publisher	publishing_local	publishing_time	review	review_time	informers	information_time	documentation	documentation_time	ISBN	comments
01 OS PÁSSAROS CRIAM OS MORROS.doc	criação_dos_morros_format.txt	__pending__	bororo	Frederico Coqueiro	__pending__	__pending__		__pending__	__pending__	__pending__	__pending__				
02 KAIGU e MERIRI BARU,  OS CUNHADOS.doc	meriri_baru_cunhados-format.txt	__pending__	bororo	Frederico Coqueiro	__pending__	Meruri	1981-1988	__pending__	__pending__	__pending__	__pending__	Coqueiro			
Historia Mitica Bor.txt	historia_mitica_bor-format	__pending__	bororo	Ochoa Camargo, Gonçalo (Cibaikare), SBD	__pending__	Mato Grosso	__pending__	__pending__	__pending__	__pending__	__pending__				
Oieigo com O meremere letra.docx	oieigo_com_o_meremere-format.txt	__pending__	bororo	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__				
OIEIGO de dança 2 (O meremere  completo, de TUGUO).docx	oieigo_de_dança_2-format.txt	__pending__	bororo	Para música cf .TUGUO (FAIXA 08)	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__				
OIEIGO de Kanajó para Antônio Caio G96.DOC	oieigo_kanajó_antônio_caio-format.txt	__pending__	bororo	Antônio Kanajó e Anciãos do Garças	__pending__	__pending__	1996	__pending__	__pending__	__pending__	__pending__				This file was corrupted, so it was cured into OIEIGO de Kanajó para Antônio Caio G96.txt
OIEIGO para Deus, Garças.doc	oiego_para_deus_garças-format.txt	__pending__	bororo	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__				
OIEIGO para o  P. Rodofo M85.docx	oieigo_do_p_rodolofo_meruri-format.txt	__pending__	bororo	__pending__	__pending__	Meruri	1985	__pending__	__pending__	__pending__	__pending__				
Oieigo para o Finado Bentinho G86.docx	oieigo_para_o_finado_bentinho-format.txt	__pending__	bororo	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__	__pending__				
OIEIGO para o finado Coqueiro G87.docx	oieigo_para_o_finado_coqueiro-format.txt	__pending__	bororo	Bororo dos Tugarege	__pending__	__pending__	1978	__pending__	__pending__	o finado Joãzinho, José Carlos Kuiaru (Paiwedu)	__pending__				
OIEIGO, Garças 1988.docx	oieigo_garcas_1988-format.txt	__pending__	bororo	__pending__	__pending__	__pending__	1988	__pending__	__pending__		__pending__				